titulo,empresa,categoria,tipo,salario,localizacao,link
Software Engineering Manager,CAVISTA,Software Development,full-time,unspecified,Nigeria,https://jobs.smartrecruiters.com/CAVISTA/744000123470439-software-engineering-manager
Software Engineer,"Management Science Associates, Inc.",Software Development,full-time,unspecified,USA,https://fa-exdf-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/154
Senior Software Engineer Code Scanning,"GitHub, Inc.",Software Development,full-time,"usd $124,000.00 - usd $329,200.00 /yr.",USA,https://githubinc.jibeapply.com/jobs/5339
Freelance Kotlin Developer,ProMedia Group ,Software Development,full-time,eur 20 - 25 per hour,Poland,https://jobs.smartrecruiters.com/ProMediaGroup/744000123463774-freelance-kotlin-developer-fulltime-
Salesforce Solution Architect Principal,Cummins,Software Development,full-time,"usd 105,600 - 158,400 per year",USA,https://fa-espx-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/2425417
Web Developer & AI Specialist,Remote VA,Software Development,full-time,unspecified,Pakistan,https://jobs.workable.com/view/ifBz11BDaKovw94A3VAm54/remote-web-developer-%26-ai-specialist-in-pakistan-at-remote-va
Developer Relations Engineer,Runware,Software Development,full-time,unspecified,USA,https://jobs.workable.com/view/kgPJDNoCSWVS5ewX7Z5yso/remote-developer-relations-engineer-in-san-francisco-at-runware
"Software Developer, Backend",Leap Tools,Software Development,full-time,"cad 65,000 - 115,000 per year",Worldwide,https://jobs.gem.com/leap-tools/am9icG9zdDqiObt6SeSfFvc-09jG4oCy
"Software Developer, React/NextJS",Leap Tools,Software Development,full-time,"cad 65,000 - 115,000 per year",Worldwide,https://jobs.gem.com/leap-tools/am9icG9zdDo-q94HmUsrwBQapI2Dyz4x
"Software Developer, Full Stack",Leap Tools,Software Development,full-time,"cad 65,000 - 115,000 per year",Worldwide,https://jobs.gem.com/leap-tools/am9icG9zdDorWg9EHzs6qrqnhkk4KWCj
Developer Experience Engineer,Arbor Education,Software Development,full-time,"gbp 80,000 - 90,000 per year",Worldwide,https://jobs.workable.com/view/aQ5MhCh4Sq323JDM9B4W1x/remote-developer-experience-engineer-(devex)-in-united-kingdom-at-arbor-education
Senior Backend Software Engineer,iFood,Software Development,full-time,unspecified,Brazil,https://job-boards.greenhouse.io/ifoodcarreiras/jobs/8496496002
Salesforce Architect,Zensar,Software Development,full-time,unspecified,India,https://fa-etvl-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/144728
